time/iterations,time/fps,time/time_elapsed,train/reward,time/total_timesteps,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates
1,245,8,0.45433837,2048,,,,,,,,,,,
2,243,16,0.07967462,4096,10.608060356974601,1.0023008584976196,0.191455078125,0.013603035,-41.18556723594666,-0.05158674716949463,0.2,-0.0289773653348675,0.00025,5.045857906341553,10
3,245,25,2.3034465,6144,39.78880478143692,1.0028395652770996,0.172412109375,0.016114837,-41.22331261634827,-0.011811494827270508,0.2,-0.02313809214392677,0.00025,20.24358558654785,20
4,245,33,3.6947265,8192,35.53350806832314,1.005487322807312,0.19765625,0.017316906,-41.26448788642883,-0.003965854644775391,0.2,-0.021643481019418688,0.00025,13.076144218444824,30
5,245,41,-1.5896155,10240,18.54832556247711,1.0070472955703735,0.217626953125,0.023146108,-41.33209986686707,-0.0253983736038208,0.2,-0.01897592337336391,0.00025,8.99641227722168,40
6,243,50,0.6145813,12288,58.54813193082809,1.009177327156067,0.212939453125,0.024087394,-41.36945950984955,0.007806181907653809,0.2,-0.016842767113121226,0.00025,23.272607803344727,50
7,244,58,2.479609,14336,137.01796782016754,1.0108110904693604,0.210888671875,0.020810334,-41.432558631896974,-0.006629347801208496,0.2,-0.010272659079055302,0.00025,37.96133804321289,60
8,244,66,-3.1723547,16384,40.00939738750458,1.0107848644256592,0.1455078125,0.015789019,-41.457191252708434,-0.015480399131774902,0.2,-0.015468187507940457,0.00025,23.05591583251953,70
9,244,75,1.0260531,18432,103.57483414411544,1.011666178703308,0.154443359375,0.014013626,-41.472491931915286,0.008521556854248047,0.2,-0.017079178043059074,0.00025,71.34749603271484,80
10,242,84,3.4090483,20480,84.0730246067047,1.0140117406845093,0.22978515625,0.022530552,-41.516384959220886,0.025514721870422363,0.2,-0.01643910397833679,0.00025,42.07145690917969,90
11,242,93,0.08691385,22528,107.63910262584686,1.016303539276123,0.1990234375,0.022689618,-41.580922198295596,0.011069655418395996,0.2,-0.013132346395286732,0.00025,64.13252258300781,100
12,240,102,1.1400769,24576,29.684202641248703,1.0177091360092163,0.15771484375,0.015624175,-41.63690984249115,0.04624909162521362,0.2,-0.02489816851739306,0.00025,15.366903305053711,110
13,238,111,-0.09644587,26624,134.35793092250825,1.0203218460083008,0.2439453125,0.022025406,-41.68910641670227,-0.019675135612487793,0.2,-0.011863177971099504,0.00025,92.93421173095703,120
14,238,119,6.1762853,28672,273.6632056236267,1.023440957069397,0.268212890625,0.032171436,-41.77873425483703,-0.004510641098022461,0.2,-0.004551542649278417,0.00025,201.77227783203125,130
15,239,128,1.6529753,30720,13.507371991872787,1.0270110368728638,0.249365234375,0.02380045,-41.86493527889252,0.027069091796875,0.2,-0.01939886067120824,0.00025,4.286250114440918,140
16,237,137,0.3833227,32768,110.10676975250244,1.0288386344909668,0.253662109375,0.023407407,-41.94224274158478,0.03594386577606201,0.2,-0.011667636770289392,0.00025,51.48612594604492,150
17,229,151,-4.975286,34816,89.67343275547027,1.0304555892944336,0.240966796875,0.027366828,-41.98906211853027,0.03990286588668823,0.2,-0.008740694023435936,0.00025,40.82902526855469,160
18,225,163,-5.233799,36864,30.992264759540557,1.0331026315689087,0.25693359375,0.025319256,-42.05326066017151,0.02257978916168213,0.2,-0.010399091128783766,0.00025,13.951284408569336,170
19,210,184,-0.74535334,38912,120.58153641223907,1.0350086688995361,0.222314453125,0.01938791,-42.11240954399109,0.019560694694519043,0.2,-0.018887412568437865,0.00025,93.07441711425781,180
20,209,195,-0.5160805,40960,89.6185652256012,1.0359773635864258,0.175439453125,0.024864705,-42.15402829647064,0.021241068840026855,0.2,-0.009427102564950473,0.00025,43.78987121582031,190
21,207,206,-0.22101057,43008,34.053141963481906,1.0382007360458374,0.27314453125,0.023555297,-42.19794080257416,0.010487079620361328,0.2,-0.01511169312580023,0.00025,17.87476348876953,200
22,208,216,0.014589742,45056,112.91196184158325,1.0394550561904907,0.168408203125,0.01716814,-42.24839689731598,0.046683549880981445,0.2,-0.01356700402975548,0.00025,62.52158737182617,210
23,209,224,0.7640107,47104,151.06824827194214,1.0425609350204468,0.181591796875,0.03490156,-42.29399447441101,0.029629647731781006,0.2,-0.006486073562700767,0.00025,67.4613037109375,220
24,210,233,0.7291236,49152,153.5674455165863,1.0436975955963135,0.166748046875,0.021705605,-42.36624190807343,0.014762341976165771,0.2,-0.011816395379719324,0.00025,78.98457336425781,230
25,211,241,0.7768459,51200,33.586290740966795,1.0455511808395386,0.170556640625,0.018328317,-42.40428018569946,0.04950273036956787,0.2,-0.008511299814563245,0.00025,14.697781562805176,240
